JUNO Test System DTS-2000

DataFileName,,X:\1、生产数据保存\ASM安森美整批数据保存\2025\5月\FT-HUF75652G3-HVPFT150037.jdf
TestFileName,,F75652G3B.jtf
Device,,QD4-F34
Lot,,FT-HUF75652G3-HVPFT150037
Operator,,LMS
Comment,,HUF75652G3

Pass,,3814,
Fail,,17,
Yield,,99.556%.,

Item Name,,1 CONT,2 ISGS,3 ISGS,4 IDSS,5 VTH,6 VTH,7 VTH,8 BVDSS,9 BVDSS,10 DELTA,11 ISGS,12 ISGS,13 HRDON,14 DELAY,15 HVFSD,16 DELAY,17 HVFSD,18 DELAY,19 ISGS,20 IDSS,21 IDSS,22 ISGS,23 VTH,24 ISGS,25 ISGS,
Bias1,,IB=1.00mA,VSG=-10.0V,VSG=10.0V,VDS=50.0V,ID=250uA,ID=1.00mA,ID=250uA,ID=250uA,ID=150uA,Value1=#8,VSG=-20.0V,VSG=-35.0V,ID=75.0A,,IS=35.0A,,IS=75.0A,,VSG=20.0V,VDS=95.0V,VDS=95.0V,VSG=5.00V,ID=250uA,VSG=-15.0V,VSG=15.0V,
Bias2,,,,,,,,,,,Value2=#9,,,VGS=10.0V,,,,,,,,,,,,,
Bias3,,,,,,,,,Vmax=200V,Vmax=200V,,,,,,,,,,,,,,,,,
Min Limit,,,,,,,0.300 V,2.050 V,102.0 V,102.0 V,,,,5.000m R,,0.200 V,,0.200 V,,,,000.1n A,,2.000 V,,,
Max Limit,, 200.0m V, -100.0u A, 100.0u A, 100.0u A, 7.000 V, 4.300 V, 3.900 V, 125.0 V, 150.0 V, 8.000 , -50.00n A, -1.000m A, 7.840m R,, 0.950 V,, 1.188 V,, 80.00n A, 100.0n A,, 100.0n A, 4.000 V, -50.00n A, 80.00n A,

Average,,7.113mV,0.883uA(F),0.921uA,1.002uA(F),2.652V,2.780V,2.652V,116.7V,116.8V,-0.07,-4.69Over(F),-0.00mA,5.654mR,Over,0.784V,Over,0.863V,Over,5.718nA,8.206nA(F),9.955nA,0.188nA,2.644V,-3.91nA,4.911nA,
STDEV,,7.7641,7.5549,0.2643,4.3391,0.0808,0.0843,0.0808,3.4019,3.4080,0.1363,4.6481,0.0002,0.3120,0.0000,0.0422,0.0000,0.0464,0.0000,2.4127,9.0020,0.6647,0.1676,0.1794,0.3247,0.3891,
Min Data,,003.5mV,-402.1uA,-000.2uA,------,------,------,------,113.7V,112.3V,-000.5,-290.2nA,-0.001mA,------,------,------,------,0.859V,------,004.0nA,005.8nA,9.999nA,-000.2nA,2.592V,-005.9nA,004.8nA,
Max Data,,175.3mV,237.4uA,002.1uA,269.4uA,2.735V,2.864V,2.735V,120.1V,120.2V,003.0,,0.000mA,5.932mR,------,0.797V,------,0.878V,------,021.2nA,426.2nA,9.999nA,000.9nA,2.734V,-003.7nA,005.9nA,
