SheetName,Structure,Origin,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Validation,XML File,Unnamed: 6,UVA,UVA.1,UVA.2,USR,Comments,File:,7G0FN07-92118-01_3_20190121_094231_1061C.stdf,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,20170927,PinId renamed to PinIndex,dataPOWER used,dataPOWER,FILE,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170114081437.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170125052513.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170128170445.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170206115713.stdf,AP0102_PC6S61_CP2_PC6S61-06G3_20170124154639.stdf,AP0202_P48P98_CP2_P48P98-20F6_20160310175436.stdf,P010A0TBAC-K1-SWF_PCBH24_PCBH24-01G6_20170121055708.stdf,ATH03_AP0202_CKF190004_619ON04E_20160518_12h49m04s_RS_1M.stdf.txt,1_AP0202_1_619ON04E_20160518_12h58m36s_FT_1.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_13h29m20s_FT_1A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_14h11m29s_FT_1B.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h31m45s_RS_2A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h49m41s_RS_3A.stdf.txt,AT10_AP0100A_MY5526709D_737ON40E_20171003_13h40m05s_FT_1A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_22h40m55s_FT_1A.stdf,ATH03_AP0102_CKG350016_735ON11E_20170910_14h40m09s_RS_1M.stdf,ATH03_AP0202_CKG080039_708ON39E_20170402_03h12m01s_FT_1A.stdf,ATH10_AP0100A_MY5526709A_737ON37E_20171003_08h29m44s_RS_2A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_13h49m55s_FT_1A.stdf,P010A0TBAC-K1-SWF_P4KA33_P4KA33-01F0_20160402053641.stdf,print TEST_TXTs PTR MPR FTR,awk -F': ' '/^PTR|^MPR|^FTR/ { PRINT=1; } /^$/ { PRINT=0; } /^   TEST_TXT:/ { if ( PRINT == 1 ) { print($0); } }',TestCount should be renamed to TestsExecuted
STDML Structure,<File ... >,"Filename, FAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Audits>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Audit ... ></Audit>,ATR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Audits>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Lot ... >,MIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Wmc ...></Wmc>,WCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Sites>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<SiteGroup ... >,SDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Site ... ></Site>,SDR (SiTE_NUM[]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</SiteGroup>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Sites>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Pins>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Pin ... ></Pin>,PMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Pins>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Parameters>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Param ... ></Param>,"TSR, PTR 1st, MPR 1st, FTR 1st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</Parameters>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<SummaryData ... >,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<PartInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Part ... ></Part>,PCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</PartInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<BinInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Bin ... ></Bin>,"HBR, SBR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</BinInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<TestInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Test ... ></Test>,TSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</TestInfo>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,</SummaryData>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Wafer ... >,"WIR, WRR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<ParametricData>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDML Structure,<Unit ... >,"PIR, PRR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
