2024-06-10 01:01:19 [INFO] ########### Start #########
2024-06-10 01:06:53 [INFO] ########### Start #########
2024-06-10 01:11:23 [INFO] ########### Start #########
2024-06-10 01:11:23 [INFO] Uvicorn running on http://0.0.0.0:5500 (Press CTRL+C to quit)
2024-06-10 01:11:23 [INFO] Started reloader process [93563] using watchgod
2024-06-10 01:11:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:28 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:28 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:11:28 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
