2024-06-10 01:14:41 [INFO] ########### Start #########
2024-06-10 01:14:41 [INFO] Uvicorn running on http://0.0.0.0:5500 (Press CTRL+C to quit)
2024-06-10 01:14:41 [INFO] Started reloader process [100263] using watchgod
2024-06-10 01:14:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:42 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:43 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:44 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:45 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:46 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:47 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:48 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:49 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:50 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:51 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:52 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:53 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:54 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:14:55 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
